ZM 1 reOhms X,ZM 1 reOhms Y
7690000000,56.8027338434765
7700000000,56.84653271402812
7710000000,56.81857142129555
7720000000,56.79059320481886
7730000000,56.7625981695441
7740000000,56.73458642074925
7750000000,56.70655806345002
7760000000,56.60734049837705
7770000000,56.65045194368778
7780000000,56.62237439117285
7790000000,56.59428065032582
7800000000,56.49532049964885
7810000000,56.5380450233062
7820000000,56.43921325123549
7830000000,56.48174590181372
7840000000,56.453572792741
7850000000,56.4253841245481
7860000000,56.39718000185052
7870000000,56.36896052964607
7880000000,56.34072581225799
7890000000,56.31247595459104
7900000000,56.28421106100685
7910000000,56.25593123618526
7920000000,56.22763658448893
7930000000,56.12950724854987
7940000000,56.17100321844956
7950000000,56.07300097618791
7960000000,56.04472594999945
7970000000,56.01643647029861
7980000000,56.05756315663979
7990000000,56.02916763874721
8000000000,56.00075812817976
8010000000,55.97233472876368
8020000000,55.94389754459716
8030000000,55.91544667939714
8040000000,55.88698223714383
8050000000,55.78961286910025
8060000000,55.83001303635137
8070000000,55.80150848509089
8080000000,55.77299077128549
8090000000,55.74445999852315
8100000000,55.71591627019858
8110000000,55.68735968965947
8120000000,55.65879036008695
8130000000,55.6302083848064
8140000000,55.53340523975324
8150000000,55.50487345644609
8160000000,55.5443876150911
8170000000,55.51575608718432
8180000000,55.4871124282909
8190000000,55.45845674116162
8200000000,55.42978912849082
8210000000,55.4011096927985
8220000000,55.30480750082376
8230000000,55.34371576216294
8240000000,55.3150014718483
8250000000,55.28627576791342
8260000000,55.25753875235598
8270000000,55.22879052735438
8280000000,55.20003119486972
8290000000,55.17126085651138
8300000000,55.14247961420645
8310000000,55.11368756949918
8320000000,55.08488482406943
8330000000,55.05607147927233
8340000000,54.96051710936241
8350000000,54.99841339695411
8360000000,54.96956886186217
8370000000,54.9407141322453
8380000000,54.91184930905987
8390000000,54.88297449318741
8400000000,54.78779261454253
8410000000,54.82519528588814
8420000000,54.79629109581493
8430000000,54.76737731523747
8440000000,54.73845404442147
8450000000,54.70952138375917
8460000000,54.68057943318488
8470000000,54.58583108291063
8480000000,54.62266806216127
8490000000,54.52804338726492
8500000000,54.56472072977482
8510000000,54.53573382695605
8520000000,54.50673823239842
8530000000,54.47773404516203
8540000000,54.44872136447305
8550000000,54.35446725115975
8560000000,54.39067091891082
8570000000,54.29654018023356
8580000000,54.3325876861916
8590000000,54.23858025354912
8600000000,54.27447245503149
8610000000,54.1805882623412
8620000000,54.21632601210253
8630000000,54.18724133141264
8640000000,54.1581491419639
8650000000,54.06451124047281
8660000000,54.03547317505267
8670000000,54.07082849697164
8680000000,54.04170724804013
8690000000,54.01257897765767
8700000000,53.91924861053793
8710000000,53.9543017607097
8720000000,53.92515300784553
8730000000,53.83200699888499
8740000000,53.86683569663876
8750000000,53.77381252993317
8760000000,53.80849262101622
8770000000,53.77931166203281
8780000000,53.75012455028475
8790000000,53.72093138162841
8800000000,53.69173225162632
8810000000,53.59907733066688
8820000000,53.63331648963648
8830000000,53.6041000483504
8840000000,53.51162910425774
8850000000,53.54565052051292
8860000000,53.51641762366264
8870000000,53.48717943113363
8880000000,53.45793603738138
8890000000,53.36577152632322
8900000000,53.39943402318438
8910000000,53.30739202228618
8920000000,53.34091233414458
8930000000,53.31164434609246
8940000000,53.2197860479496
8950000000,53.25309455079841
8960000000,53.22381293006676
8970000000,53.19452695174519
8980000000,53.1029134822335
8990000000,53.13594229288391
9000000000,53.10664379800711
9010000000,53.07734131598972
9020000000,53.0480349392924
9030000000,53.01872475992605
9040000000,52.98941086983046
9050000000,52.96009336086309
9060000000,52.93077232468826
9070000000,52.90144785277104
9080000000,52.87212003633146
9090000000,52.84278896657985
9100000000,52.81345473439553
9110000000,52.78411743074067
9120000000,52.69336004760198
9130000000,52.66408087145608
9140000000,52.69608799568049
9150000000,52.6055139243457
9160000000,52.57622633410038
9170000000,52.60803416924767
9180000000,52.57867789273991
9190000000,52.48834817730688
9200000000,52.4590506288185
9210000000,52.49059531261221
9220000000,52.40044882400117
9230000000,52.43186302409215
9240000000,52.40249397551953
9250000000,52.37312310854318
9260000000,52.34375051148452
9270000000,52.31437627237272
9280000000,52.22459614851876
9290000000,52.25562321911217
9300000000,52.22624458022752
9310000000,52.1968646496167
9320000000,52.16748351429749
9330000000,52.13810126143073
9340000000,52.04868740415483
9350000000,52.07933374966296
9360000000,52.0499486637608
9370000000,52.02056280625852
9380000000,51.99117626316051
9390000000,51.90206756883923
9400000000,51.87274145323724
9410000000,51.90301337807508
9420000000,51.87362494937564
9430000000,51.84423626258297
9440000000,51.81484740259089
9450000000,51.78545845408978
9460000000,51.75606950176827
9470000000,51.72668062988961
9480000000,51.69729192274725
9490000000,51.66790346425513
9500000000,51.63851533818704
9510000000,51.60912762821606
9520000000,51.5208121847534
9530000000,51.55035379009968
9540000000,51.46216037025009
9550000000,51.4915826150952
9560000000,51.46219823323678
9570000000,51.43281476518421
9580000000,51.40343229319441
9590000000,51.37405089947528
9600000000,51.34467066569827
9610000000,51.31529167377119
9620000000,51.28591400508697
9630000000,51.25653774100808
9640000000,51.2271629626439
9650000000,51.19778975092283
9660000000,51.16841818665041
9670000000,51.13904835018302
9680000000,51.10968032198272
9690000000,51.08031418216243
9700000000,51.0509500107367
9710000000,51.02158788743623
9720000000,50.93449260422717
9730000000,50.96287010293769
9740000000,50.93351460033243
9750000000,50.84660233572074
9760000000,50.81731020446959
9770000000,50.84546259815085
9780000000,50.75873335248263
9790000000,50.7867741363641
9800000000,50.75743400190558
9810000000,50.72809670212413
9820000000,50.69876231453573
9830000000,50.66943091662699
9840000000,50.64010258554575
9850000000,50.61077739816228
9860000000,50.58145543125977
9870000000,50.55213676146481
9880000000,50.52282146508886
9890000000,50.49350961828986
9900000000,50.46420129700528
9910000000,50.43489657707204
9920000000,50.4055955339912
9930000000,50.37629824304177
9940000000,50.34700477939915
9950000000,50.31771521805577
9960000000,50.28842963377416
9970000000,50.20285953774166
