Freq(Hz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
1,9.4e+09,0.831253,-0.220697,0.00164837,0.0306935,0.00164837,0.0306935,0.977714,-0.0744017
1,9.5e+09,0.830493,-0.222008,0.00178184,0.0309806,0.00178184,0.0309806,0.97752,-0.0749961
1,9.6e+09,0.829738,-0.223323,0.00191536,0.0312665,0.00191536,0.0312665,0.977329,-0.0755897
1,9.7e+09,0.828989,-0.224643,0.00204895,0.0315512,0.00204895,0.0315512,0.977139,-0.0761827
1,9.8e+09,0.828245,-0.225968,0.00218259,0.0318347,0.00218259,0.0318347,0.976951,-0.0767749
1,9.9e+09,0.827506,-0.227297,0.00231628,0.032117,0.00231628,0.032117,0.976765,-0.0773666
1,1e+10,0.826772,-0.22863,0.00245004,0.0323983,0.00245004,0.0323983,0.976581,-0.0779576
1,1.01e+10,0.826043,-0.229967,0.00258385,0.0326785,0.00258385,0.0326785,0.976398,-0.078548
1,1.02e+10,0.825319,-0.231309,0.00271771,0.0329577,0.00271771,0.0329577,0.976217,-0.0791379
1,1.03e+10,0.8246,-0.232655,0.00285163,0.0332359,0.00285163,0.0332359,0.976038,-0.0797273
1,1.04e+10,0.823884,-0.234005,0.00298561,0.0335131,0.00298561,0.0335131,0.975861,-0.0803162
1,1.05e+10,0.823173,-0.235358,0.00311965,0.0337894,0.00311965,0.0337894,0.975685,-0.0809046
1,1.06e+10,0.822466,-0.236715,0.00325375,0.0340647,0.00325375,0.0340647,0.97551,-0.0814925
1,1.07e+10,0.821763,-0.238076,0.00338792,0.0343392,0.00338792,0.0343392,0.975337,-0.08208
1,1.08e+10,0.821064,-0.239441,0.00352215,0.0346128,0.00352215,0.0346128,0.975166,-0.0826671
1,1.09e+10,0.820368,-0.240809,0.00365645,0.0348856,0.00365645,0.0348856,0.974997,-0.0832539
1,1.1e+10,0.819676,-0.242181,0.00379082,0.0351575,0.00379082,0.0351575,0.974828,-0.0838402
1,1.11e+10,0.818987,-0.243556,0.00392528,0.0354287,0.00392528,0.0354287,0.974662,-0.0844263
1,1.12e+10,0.818302,-0.244935,0.00405981,0.0356991,0.00405981,0.0356991,0.974496,-0.085012
1,1.13e+10,0.81762,-0.246316,0.00419443,0.0359687,0.00419443,0.0359687,0.974332,-0.0855973
1,1.14e+10,0.81694,-0.247701,0.00432913,0.0362376,0.00432913,0.0362376,0.97417,-0.0861824
1,1.15e+10,0.816263,-0.249088,0.00446393,0.0365059,0.00446393,0.0365059,0.974009,-0.0867673
1,1.16e+10,0.815589,-0.250479,0.00459882,0.0367734,0.00459882,0.0367734,0.973849,-0.0873518
1,1.17e+10,0.814917,-0.251873,0.00473382,0.0370403,0.00473382,0.0370403,0.97369,-0.0879361
1,1.18e+10,0.814248,-0.253269,0.00486892,0.0373065,0.00486892,0.0373065,0.973533,-0.0885202
1,1.19e+10,0.813581,-0.254668,0.00500413,0.0375722,0.00500413,0.0375722,0.973377,-0.0891041
1,1.2e+10,0.812916,-0.256069,0.00513946,0.0378372,0.00513946,0.0378372,0.973222,-0.0896877
1,1.21e+10,0.812253,-0.257473,0.00527491,0.0381016,0.00527491,0.0381016,0.973068,-0.0902712
1,1.22e+10,0.811592,-0.258879,0.00541049,0.0383655,0.00541049,0.0383655,0.972916,-0.0908544
1,1.23e+10,0.810932,-0.260288,0.0055462,0.0386288,0.0055462,0.0386288,0.972764,-0.0914375
1,1.24e+10,0.810274,-0.261698,0.00568205,0.0388916,0.00568205,0.0388916,0.972614,-0.0920205
1,1.25e+10,0.809617,-0.263111,0.00581804,0.0391538,0.00581804,0.0391538,0.972465,-0.0926032
1,1.26e+10,0.808962,-0.264525,0.00595417,0.0394156,0.00595417,0.0394156,0.972316,-0.0931859
1,1.27e+10,0.808307,-0.265942,0.00609047,0.0396768,0.00609047,0.0396768,0.972169,-0.0937684
1,1.28e+10,0.807653,-0.26736,0.00622692,0.0399376,0.00622692,0.0399376,0.972023,-0.0943507
1,1.29e+10,0.807001,-0.26878,0.00636354,0.0401979,0.00636354,0.0401979,0.971877,-0.094933
1,1.3e+10,0.806348,-0.270202,0.00650032,0.0404577,0.00650032,0.0404577,0.971732,-0.0955151
1,1.31e+10,0.805697,-0.271625,0.00663729,0.0407171,0.00663729,0.0407171,0.971588,-0.0960972
1,1.32e+10,0.805045,-0.273049,0.00677444,0.0409761,0.00677444,0.0409761,0.971445,-0.0966791
1,1.33e+10,0.804394,-0.274475,0.00691177,0.0412346,0.00691177,0.0412346,0.971303,-0.0972609
1,1.34e+10,0.803743,-0.275901,0.0070493,0.0414927,0.0070493,0.0414927,0.971161,-0.0978427
1,1.35e+10,0.803091,-0.277329,0.00718703,0.0417505,0.00718703,0.0417505,0.97102,-0.0984243
1,1.36e+10,0.80244,-0.278758,0.00732497,0.0420078,0.00732497,0.0420078,0.97088,-0.0990059
1,1.37e+10,0.801788,-0.280187,0.00746312,0.0422647,0.00746312,0.0422647,0.97074,-0.0995874
1,1.38e+10,0.801135,-0.281618,0.00760149,0.0425213,0.00760149,0.0425213,0.970601,-0.100169
