ZM 1 imOhms X,ZM 1 imOhms Y
4120000000,-133.2414422306741
4130000000,-132.9894572803217
4140000000,-132.7388361617229
4150000000,-132.4895687708418
4160000000,-132.2416451016582
4170000000,-131.9450430105485
4180000000,-131.7497893739597
4190000000,-131.5058377725595
4200000000,-131.2138978946495
4210000000,-131.0218389256212
4220000000,-130.7817726833099
4230000000,-130.5429827118013
4240000000,-130.305459733766
4250000000,-130.0691945568877
4260000000,-129.8341780750486
4270000000,-129.6004012665623
4280000000,-129.3678551928321
4290000000,-129.1365309971057
4300000000,-128.9064199051467
4310000000,-128.6775132223253
4320000000,-128.4498023337237
4330000000,-128.176925171773
4340000000,-127.9979338723331
4350000000,-127.7278339066045
4360000000,-127.5507471582047
4370000000,-127.3288887386949
4380000000,-127.1081760442384
4390000000,-126.8886009917226
4400000000,-126.6701555706764
4410000000,-126.4528318423568
4420000000,-126.1921467518847
4430000000,-126.0215180628591
4440000000,-125.8075124851776
4450000000,-125.5945975465197
4460000000,-125.382765654458
4470000000,-125.128526643442
4480000000,-124.9623209776862
4490000000,-124.7105980009593
4500000000,-124.5461190454929
4510000000,-124.3395908277079
4520000000,-124.1341014862845
4530000000,-123.9296438835292
4540000000,-123.7262109430397
4550000000,-123.5237956502888
4560000000,-123.2806093050865
4570000000,-123.1219902516064
4580000000,-122.8811683737015
4590000000,-122.7241727708021
4600000000,-122.4856832591937
4610000000,-122.2894074007121
4620000000,-122.1348060736035
4630000000,-121.9402865753704
4640000000,-121.7063676709129
4650000000,-121.5541126451519
4660000000,-121.3624453941071
4670000000,-121.1318741687029
4680000000,-120.9819186771586
4690000000,-120.793046713526
4700000000,-120.5657562795656
4710000000,-120.4180547243658
4720000000,-120.2319225123865
4730000000,-120.046691449164
4740000000,-119.8623555675569
4750000000,-119.67890894997
4760000000,-119.4579860627847
4770000000,-119.2764596371321
4780000000,-119.1338462365551
4790000000,-118.9538984705684
4800000000,-118.7748111046554
4810000000,-118.5965785076672
4820000000,-118.4191950939352
4830000000,-118.2426553239651
4840000000,-118.066953702613
4850000000,-117.8920847798696
4860000000,-117.6812289006488
4870000000,-117.5448234487488
4880000000,-117.3359030849557
4890000000,-117.1644583563357
4900000000,-117.0300429490649
4910000000,-116.860058202948
4920000000,-116.6908692145384
4930000000,-116.5224708746022
4940000000,-116.3548581141042
4950000000,-116.1880259048456
4960000000,-116.0219692585528
4970000000,-115.8566832257748
4980000000,-115.6921628963206
4990000000,-115.528403399188
5000000000,-115.3653999011498
5010000000,-115.2031476072319
5020000000,-115.0416417601296
5030000000,-114.8808776391631
5040000000,-114.7208505610096
5050000000,-114.5615558786211
5060000000,-114.402988981098
5070000000,-114.2451452935466
5080000000,-114.0880202756528
5090000000,-113.9316094230718
5100000000,-113.7759082659501
5110000000,-113.6209123683789
5120000000,-113.4666173290845
5130000000,-113.3130187801019
5140000000,-113.1601123873476
5150000000,-112.9750297025416
5160000000,-112.8236182915795
5170000000,-112.7055032949249
5180000000,-112.5553228388798
5190000000,-112.3734387313955
5200000000,-112.2569707078338
5210000000,-112.1087907832682
5220000000,-111.9612695040151
5230000000,-111.7825055560426
5240000000,-111.6681867212625
5250000000,-111.4909541802129
5260000000,-111.3776903404979
5270000000,-111.2019704709766
5280000000,-111.0897488184565
5290000000,-110.9155231641939
5300000000,-110.8043310798884
5310000000,-110.6625590443761
5320000000,-110.5214065086881
5330000000,-110.3808697168693
5340000000,-110.2409449395963
5350000000,-110.1016284750482
5360000000,-109.9629166491421
5370000000,-109.8248058136808
5380000000,-109.6872923483015
5390000000,-109.550372658179
5400000000,-109.3840472542514
5410000000,-109.2783003556707
5420000000,-109.1431406842472
5430000000,-108.9788801121994
5440000000,-108.8745568436609
5450000000,-108.71165227172
5460000000,-108.5788931178047
5470000000,-108.4759682205527
5480000000,-108.3442349906327
5490000000,-108.2130609906395
5500000000,-108.0824429012055
5510000000,-107.9523774262262
5520000000,-107.8228612934047
5530000000,-107.6938912536365
5540000000,-107.5654640812383
5550000000,-107.4375765724488
5560000000,-107.3102255474788
5570000000,-107.1834078475178
5580000000,-107.057120337151
5590000000,-106.931359902668
5600000000,-106.806123451983
5610000000,-106.6814079149997
5620000000,-106.5572102425556
5630000000,-106.4335274080579
5640000000,-106.3103564043681
5650000000,-106.1876942464382
5660000000,-106.0106525996237
5670000000,-105.9438846296084
5680000000,-105.8227313030347
5690000000,-105.7020750862294
5700000000,-105.5819130958489
5710000000,-105.4622424679684
5720000000,-105.3430603592826
5730000000,-105.2243639450842
5740000000,-105.1061504205579
5750000000,-104.9884169997473
5760000000,-104.8711609159561
5770000000,-104.7543794217103
5780000000,-104.6380697874377
5790000000,-104.5222293027837
5800000000,-104.4068552756012
5810000000,-104.2919450319138
5820000000,-104.1774959158068
5830000000,-104.063505289555
5840000000,-103.9499705327986
5850000000,-103.8368890435066
5860000000,-103.7242582364685
5870000000,-103.6120755442619
5880000000,-103.5003384163272
5890000000,-103.389044319494
5900000000,-103.2781907372742
5910000000,-103.1677751704915
5920000000,-103.0072832433266
5930000000,-102.9482481664757
5940000000,-102.8391318131549
5950000000,-102.7304436416105
5960000000,-102.6221812344102
5970000000,-102.5143421897235
5980000000,-102.4069241215961
5990000000,-102.2999246600723
6000000000,-102.193341450333
6010000000,-102.0871721537583
6020000000,-101.9814144459724
6030000000,-101.876066019135
6040000000,-101.7711245792484
6050000000,-101.6665878484067
6060000000,-101.5624535626889
6070000000,-101.4587194732783
6080000000,-101.3553833459294
6090000000,-101.2524429610678
6100000000,-101.149896113224
6110000000,-101.0477406115416
6120000000,-100.9459742789676
6130000000,-100.8445949525833
6140000000,-100.7436004835657
6150000000,-100.6429887368727
6160000000,-100.5427575912796
6170000000,-100.4429049386483
6180000000,-100.2966818552481
6190000000,-100.2443267495204
6200000000,-100.1455970646785
6210000000,-100.0472375760329
6220000000,-99.94924624240093
6230000000,-99.8516210354509
6240000000,-99.75435993955048
6250000000,-99.6574609526339
6260000000,-99.56092208454551
6270000000,-99.46474135796772
6280000000,-99.3689168079768
6290000000,-99.27344648228279
6300000000,-99.17832844077226
6310000000,-99.083560755487
6320000000,-98.98914151058368
6330000000,-98.89506880255543
6340000000,-98.80134073938316
6350000000,-98.70795544119657
6360000000,-98.61491103960695
6370000000,-98.52220567823953
6380000000,-98.42983751191659
6390000000,-98.3378047072591
6400000000,-98.24610544213031
6410000000,-98.15473790593694
6420000000,-98.06370029892734
6430000000,-97.97299083239858
6440000000,-97.88260772985568
6450000000,-97.79254922425444
6460000000,-97.70281356057571
6470000000,-97.61339899375105
6480000000,-97.52430379031512
6490000000,-97.43552622687449
6500000000,-97.34706459077861
6510000000,-97.25891717990453
6520000000,-97.17108230272937
6530000000,-97.08355827773489
6540000000,-96.99634343375216
6550000000,-96.90943610999553
6560000000,-96.78069380319158
6570000000,-96.73653742993609
6580000000,-96.65054280255158
6590000000,-96.52303275906272
6600000000,-96.47945486833338
6610000000,-96.3943583492992
6620000000,-96.30955800372105
6630000000,-96.22505224978579
6640000000,-96.14083951505037
